Meny, Mandag, Tirsdag, Onsdag, Torsdag, Fredag
Lunsj, "Kylling korma med raita,  mangochutney og nan basmatiris(melk, hvete,  cashewnøt, hvitløk)", "Lasagne med cherrytomater spinat,  cour de capra,  og basilikumolje (hvete,  melk)", "Gulasj med rotgrønsaker,  potetmos,  rømme,  focaccia. (hvitløk,  selleri,  melk)", "Sei med stektløk,  koktepoteter,  hurtigsyltetagurk salat,  rømme og smørsaus. (fisk,  melk,  sulfit)", "Spicepinnekjøtt,  teriyaky ribbe,  asiatisk rødkål,  honing soya glazerte småpoteter og tyttebær (hvete,  soya,  sulfit,  hvitløk)"
Lunsj veg, "Palak paneer m rita mangochutny basmatiris nan (melk, hvete,  sulfit)", "Pasta med sopp,  fløte og trøffelolje.(hvete,  melk)", "Vegetarisk moussaka fra Libanon,  eubergine,  kikerter,  tomat,  sitron,  servers med ris. (hvete,  melk)", "Vegetargryte med søtpotet,  gulrot,  blomkål og linser. Gryteretten er blant annet krydret med garam masala (sulfit,  hvitløk)", "Oumph pinne kjøtt,  teriyaky nøttestek,  asiatisk rødkål,  honing soya glazerte småpoteter og tyttebær (hvete,  sulfit,  soya,  hvitløk)"
Dagens påsmurt, "Langpanne rotspelt,  med serrano,  syltarødløk,  brie og aioli. (hvete,  egg,  sennep,  sulfitt,  hvitløk,  melk)", "Baguett,  tunamix,  salat,  chiliaioli og avocado. (hvete,  egg,  sulfitt,  sennep)", "Hirse sandwichbrød med kremetkylling,  kremost,  saltmix,  sylta grønnsaker.. (hvete,  egg,  melk sulfitt,  sennep)", "Wrap med eggerøre,  røktskinke,  srirachamajones,  syrlig kål (hvete,  sulfitt,  egg,  sennep)", "Clubsandwich,  kylling,  Bacon,  salat og tomat,  aioli . (hvete,  egg,  sennep,  sulfitt)"
Dagens påsmurt veg, "Langpanne rotspelt,  med tomat,  syltarødløk,  brie og aioli. (hvete,  egg,  sennep,  sulfitt,  hvitløk,  melk)", "Baguett,  mozzarella,  salat,  chiliaioli og avocado. (hvete,  egg,  sulfitt,  sennep)", "Hirse sandwichbrød,  bakte grønnsaker,  kremost,  salatmix,  sylta rødløk.(hvete, sulfit,  melk))", "Wrap med eggerøre,  marinerte bønner,  srirachamajones,  syrlig kål (hvete,  sulfitt,  egg,  sennep)", "Sandwich med  Semidryed tomat,  chevre,  salat og aioli. (hvete,  sesam)"
Dagens salat, "Bulgursalat marinert bulgur med og grønnsaksmix,  med grillet svinenakke. Syltet rødløk. (hvete,  sulfitt)", """Karedok"" salat med kylling,  syltede grønnsaker,  peanøttsaus og kikerter (peanøtt,  fisk,  skalldyr,  sulfitt)", "Salat med feta,  greske kjøttboller,  oliven og tzatziki (melk,  sulfitt)", "Kylling og linsesalat med rucola,  feta,  honing,  rødløk,  redikk og sprø grønnsaker (sulfit,  melk)", "Salat med nypoteter,  bacon,  syltagurk,  rødløk,  kokte egg,  og persille(egg, sulfit)"
Dagens salat veg, "Bulgursalat,  marinert bulgur og grønnsaksmix,  med feta ,  oliven og Syltet rødløk. (hvete,  melk,  sulfitt)", """Karedok"" salat med syltede grønnsaker,  peanøttsaus og kikerter (peanøtt,  fisk,  skalldyr,  sulfitt)", "Gresk salat,  agurk,  tomat,  rødløk,  salatmix,   med feta,  oliven og tzatziki (melk,  sulfitt)", "Linsesalat med rucola,  feta,  honing,  rødløk,  redikk og sprø grønnsaker(sulfit,  melk)", "Salat med nypoteter, syltagurk,  rødløk,  kokte egg,  og persille(egg,  sulfit)"
Meny, Mandag, Tirsdag, Onsdag, Torsdag, Fredag
Lunsj, "Svinekam magert og mørt. I denne oppskriften blir svinekjøtt,  grønnsaker og kremet saus til en deilig lunsjgryte servert med ovnstekte potetbåter.(melk, hvitløk, sennep)", "Moussaka er opprinnelig fra Midtøsten,  men er mest kjent fra Tyrkia og Hellas. (hvete,  melk,  hvitløk)", "Thai marinert kylling,  med kokosmelk,  limejuice og fiskesaus for rikelig med umami. serveres med kokkosris(fisk,  sulfit,  hvitløk)", "Stekt scampi i hvitløkssmør serveres i en toskansk kremet hvitløksparmesan saus,  fylt glasert cherrytomat og spinat,  patatas bravas.(skaldyr,  egg,  sennep, melk,  hvitløk)", "Pulled Beef Tacos - høyrygg av okse,  små maistortillas,  revet ost,  ristet mais,  rømme,  guacemole,  pico de gallo,  frisk koriander,  limebåte,  serveres med red Mexican rice(melk,  sulfit,  hvitløk)"
Lunsj veg, "Vegetar gryte med sopp,  grønnsaker og kremet saus,  en deilig lunsjgryte servert med ovnstekte potetbåter(melk,  sennep,  hvitløk)", "Kung Pao Tofu omdefinerer begrepet plantebasert middag. Med knasende cashewnøtter og massevis av grønnsaker overfylt i en sunn dose krydret Kung Pao-saus,  er det en vegansk middag som treffer blink.(soya,  sulfit,  cashew,  hvitløk)", "Tom Ka vegetar,  nydelig gryte med kokosmelk,  limejuice og grønnsaker,  serveres med kokkosris(sulfit,  hvitløk)", "Grillet sopp i en lett og kremet hvitløksparmesan saus fylt med soltørkede tomater og spinat. patatas bravas(egg,  sennep,  melk,  sulfit)", "Frijoles refritos Tacos - meksikansk bønnestuing,  små maistortillas,  revet ost,  ristet mais,  rømme,  guacemole,  pico de gallo,  frisk koriander,  limebåter,  serveres med red Mexican rice(melk,  sulfit,  hvitløk)"
Dagens påsmurt, "Sandwich med mortadella,  italiensk salat og semidryed cherrytomat,  salat og tomatdressing(hvete, egg,  sennep,  hvitløk)", "Spekeskinke,  fersk tomatsalat,  basilkumaioli og mozzarella,  salat (hvete,  melk,  sulfitt)", "Focaccia med Prosciutto cotto,  tallegio,  fiken,  ruccola og balsamico(hvete,  melk,  sulfit, )", "Amerikansk currykyllingsalat sandwich med chrispysalat,  tomat og rødløk.(hvete,  egg,  sennep,  selleri,  hvitløk)", "'Banh mi'' med pork belly,  chiliaioli,  syltede grønnsaker og salat(hvete, sulfitt,  fisk,  egg,  sennep)"
